"id","ref_unit","ref_tags","state","mnemonic","name","info"
"1","1","0","0","#1","Sistema",""
"2","2","0","0","#2","General - Importación del Active Directory (AD)",""
"3","3","0","0","#3","ADMINISTRACION",""
"4","4","0","0","#4","SOPORTE",""
"5","5","0","0","#5","TI",""
"6","7","0","0","comercial_pahuichi","Comercial",""
"7","7","0","0","operaciones","Operaciones",""
"8","7","0","0","administracion_pahuichi","Administración",""
"9","7","0","0","recursos_humanos","Recursos Humanos",""
"10","7","0","0","legal","Legal",""
"11","7","0","0","sistemas","Sistemas",""
"13","9","0","0","administracion_techo","Administración",""
"14","9","0","0","comercial_techo","Comercial",""
"15","9","0","0","recursos_humanos_techo","Recursos Humanos",""
"16","9","0","0","legal_techo","Legal",""
"17","9","0","0","sistemas_techo","Sistemas",""
"18","9","0","0","operaciones_techo","Operaciones",""
"19","8","0","0","comercial_casamia","Comercial",""
"20","8","0","0","operaciones_casamia","Operaciones",""
"21","8","0","0","administracion_casamia","Administración",""
"22","8","0","0","recursos_humanos_casamia","Recursos Humanos",""
"23","8","0","0","legal_casamia","Legal",""
"24","8","0","0","transporte_casamia","Transporte",""
"25","10","0","0","arquitectura_central","Arquitectura",""
"26","10","0","0","asuntos_juridicos_central","Asuntos Jurídicos",""
"27","10","0","0","comercial_central","Comercial",""
"28","10","0","0","finanzas_central","Finanzas",""
"29","10","0","0","operaciones_central","Operaciones",""
"30","10","0","0","adquisiciones_central","Adquisiciones",""
"31","10","0","0","propiedades_central","Propiedades",""
"32","10","0","0","recursos_humanos_central","Recursos Humanos",""
"33","10","0","0","tecnologia_informacion_central","Tecnología de la Información",""
"34","13","0","1","#34","LEGAL",""
"35","13","0","1","#35","CATASTRO",""
"36","13","0","1","#36","OPERACIONES",""
"37","14","0","0","#37","LEGAL",""
"38","14","0","0","#38","OPERACIONES",""
"39","14","0","0","#39","ADMINISTRACION",""
"40","15","0","0","#40","ADMINISTRACION",""
