"id","ref_department","ref_tags","state","mnemonic","name","info"
"1","1","0","0","#1","Default",""
"2","2","0","0","#2","General - Importación del Active Directory (AD)",""
"3","3","0","0","#3","ADMINISTRACION",""
"4","4","0","0","#4","SOPORTE",""
"5","5","0","0","#5","TI",""
"6","7","0","0","cobranza"," Cobranza",""
"7","7","0","0","plataforma_pahuichi","Plataforma",""
"8","7","0","0","catastro_pahuichi","Catastro",""
"9","6","0","0","marketing_pahuichi","Marketing",""
"10","6","0","0","ventas","Ventas",""
"11","8","0","0","transporte_pahuichi","transporte",""
"12","8","0","0","administracion_pahuichi","Administración",""
"13","13","0","0","administracion_techo","Administración",""
"14","13","0","0","transporte","Transporte",""
"15","14","0","0","marketing_techo","Marketing",""
"16","14","0","0","ventas_techo","Ventas",""
"17","18","0","0","plataforma_techo","Plataforma",""
"18","18","0","0","cobranza_techo","Cobranza",""
"19","18","0","0","catastro_techo","Catastro",""
"20","19","0","0","ventas_casamia","Ventas",""
"21","19","0","0","marketing_casamia","Marketing",""
"22","20","0","0","plataforma_casamia","Plataforma",""
"23","20","0","0","catastro_casamia","Catastro",""
"24","26","0","0","contratos_tramites_central","Contratos y Trámites",""
"25","26","0","0","asuntos_corporativos_judiciales_central","Asuntos Corporativos y Judiciales",""
"26","26","0","0","medio_ambiente_central","Medio Ambiente",""
"27","27","0","0","control_seguimiento_comercial_central","Control y Seguimiento Comercial",""
"28","27","0","0","business_intelligence_central","Business Intelligence",""
"29","27","0","0","marketing_central","Marketing",""
"30","27","0","0","medios_central","Medios",""
"31","28","0","0","presupuesto_financiamiento_central","Presupuesto y Financiamiento",""
"32","28","0","0","contabilidad","Contabilidad",""
"33","28","0","0","tesoreria","Tesorería",""
"34","28","0","0","impuestos_central","Impuestos",""
"35","28","0","0","Control_gestion_seguimiento_central","Control de Gestión y Seguimiento",""
"36","29","0","0","organizacion_procesos_calidad_central","Organización, Procesos y Calidad",""
"37","29","0","0","administracion_central","Administración",""
"38","4","0","0","#38","General - Importación del Active Directory (AD)",""
"39","5","0","0","#39","General - Importación del Active Directory (AD)",""
"40","34","0","1","#40","General - Importación del Active Directory (AD)",""
"41","3","0","0","#41","General - Importación del Active Directory (AD)",""
"42","35","0","2","#42","ASISTENTE DE CATASTRO",""
"43","36","0","1","#43","CATASTRO",""
"44","37","0","0","#44","General - Importación del Active Directory (AD)",""
"45","38","0","0","#45","CATASTRO",""
"46","39","0","0","#46","MENSAJERO",""
"47","40","0","0","#47","JEFE DE ADMINISTRACION",""
"48","40","0","0","#48","CONDUCTOR",""
"49","40","0","0","#49","MENSAJERO",""
