"id","ref_parent","ref_tags","type","state","mnemonic","name","info"
"1","0","0","0","0","","Strategic Adviser",""
"2","0","0","0","0","#2","General - Importación del Active Directory (AD)",""
"3","0","0","0","0","#3","GRUPO LA FUENTE",""
"4","0","0","0","0","#4","GEL",""
"5","0","0","0","0","#5","GRUPO LAFUENTE",""
"6","0","0","0","0","grupo_lafuente1","Grupo Lafuente1",""
"7","6","0","0","0","el_pahuichi","El Pahuichi",""
"8","6","0","0","0","casa_mia","Casa Mia",""
"9","6","0","0","0","techo","Techo",""
"10","6","0","0","0","oficina_central","Oficina Central",""
"11","6","0","0","0","pilat","PILAT",""
"12","6","0","0","0","ciudad_nueva_santacruz","Ciudad Nueva Santa Cruz",""
"13","0","0","0","1","#13","CASAMIA LTDA",""
"14","0","0","0","0","#14","CASAMIA",""
"15","0","0","0","0","#15","MONUMENTAL",""
